 # r       w_scrn(r)      v_ch(r)
    0.2013752323E+01    0.1705990172E-01    0.4965853241E+00
    0.2116999613E+01    0.1806441617E-01    0.4723665721E+00
    0.2225540504E+01    0.1870336875E-01    0.4493289825E+00
    0.2339646406E+01    0.1903091088E-01    0.4274149495E+00
    0.2459602642E+01    0.1910108687E-01    0.4065696764E+00
    0.2585709166E+01    0.1896765679E-01    0.3867410393E+00
    0.2718281310E+01    0.1868284818E-01    0.3678794562E+00
    0.2857650573E+01    0.1829625381E-01    0.3499377634E+00
    0.3004165451E+01    0.1778628239E-01    0.3328710973E+00
    0.3158192307E+01    0.1718247419E-01    0.3166367823E+00
    0.3320116289E+01    0.1651210815E-01    0.3011942242E+00
    0.3490342292E+01    0.1579997176E-01    0.2865048086E+00
    0.3669295968E+01    0.1506775802E-01    0.2725318042E+00
